44 types,File,Breaking Point,Debt,Annual Interest,Issues,# lines of code (LOC),DebtRating,DebtRatio
FluentAssertions.Equivalency .Tracing.GetTraceMessage,Src\FluentAssertions\Equivalency\Tracing\GetTraceMessage.cs,332d,50min,54min,2 issues;FluentAssertions.Equivalency .Tracing.GetTraceMessage violates rule 'Avoid custom delegates';FluentAssertions.Equivalency .Tracing.GetTraceMessage violates rule 'Avoid namespaces mutually dependent',N/A,E,115.74
FluentAssertions.Xml.Equivalency .XmlReaderValidator,Src\FluentAssertions\Xml\Equivalency\XmlReaderValidator.cs,1y  95d,42min,33min,"6 issues;FluentAssertions.Xml.Equivalency .XmlReaderValidator violates rule 'Class with no descendant should be sealed if possible';FluentAssertions.Xml.Equivalency .XmlReaderValidator violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Xml.Equivalency .XmlReaderValidator..ctor (XmlReader,XmlReader,String ,Object[]) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Xml.Equivalency .XmlReaderValidator.Validate (Boolean) violates rule 'Code should be tested';FluentAssertions.Xml.Equivalency .XmlReaderValidator.Validate (Boolean) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Xml.Equivalency .XmlReaderValidator.Validate() violates rule 'Avoid methods too big, too complex'",81,B,5.22
FluentAssertions.Equivalency .EquivalencyValidationContext,Src\FluentAssertions\Equivalency\EquivalencyValidationContext.cs,1y  102d,1h  9min,54min,"6 issues;FluentAssertions.Equivalency .EquivalencyValidationContext violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyValidationContext violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Equivalency .EquivalencyValidationContext violates rule 'Avoid prefixing type name with parent namespace name';FluentAssertions.Equivalency .EquivalencyValidationContext. .ctor(INode,IEquivalencyOptions) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyValidationContext .IsCyclicReference(Object) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyValidationContext .ToString() violates rule 'Code should be tested'",21,C,16.04
FluentAssertions.Formatting .FormattedObjectGraph+PossibleMult ilineFragment,Src\FluentAssertions\Formatting\FormattedObjectGraph.cs,1y  168d,33min,22min,7 issues;FluentAssertions.Formatting .FormattedObjectGraph+PossibleMult ilineFragment violates rule 'Class with no descendant should be sealed if possible';FluentAssertions.Formatting .FormattedObjectGraph+PossibleMult ilineFragment violates rule 'Nested types should not be visible';FluentAssertions.Formatting .FormattedObjectGraph+PossibleMult ilineFragment..ctor (FormattedObjectGraph) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Formatting .FormattedObjectGraph+PossibleMult ilineFragment.InsertLineOrFragment (String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Formatting .FormattedObjectGraph+PossibleMult ilineFragment .AddEndingLineOrFragment(String) violates rule 'Code should be tested';FluentAssertions.Formatting .FormattedObjectGraph+PossibleMult ilineFragment .AddEndingLineOrFragment(String) violates rule 'Potentially Dead Methods';FluentAssertions.Formatting .FormattedObjectGraph+PossibleMult ilineFragment..ctor (FormattedObjectGraph+PossibleMult ilineFragment) violates rule 'Code should be tested',29,B,7.04
FluentAssertions.Execution .GivenSelectorExtensions,Src\FluentAssertions\Execution\GivenSelectorExtensions.cs,1y  176d,38min,25min,"13 issues;FluentAssertions.Execution .GivenSelectorExtensions violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Execution .GivenSelectorExtensions violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionIsNotNull<T> (GivenSelector<IEnumerable<T>>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Execution .GivenSelectorExtensions .AssertEitherCollectionIsNotEmpty <T>(GivenSelector<ICollection<T>> ,Int32) violates rule 'Methods that could have a lower visibility';FluentAssertions.Execution .GivenSelectorExtensions .AssertEitherCollectionIsNotEmpty <T>(GivenSelector<ICollection<T>> ,Int32) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionHasEnoughItems<T> (GivenSelector<IEnumerable<T>> ,Int32) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionHasEnoughItems<T> (GivenSelector<ICollection<T>> ,Int32) violates rule 'Methods that could have a lower visibility';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionHasEnoughItems<T> (GivenSelector<ICollection<T>> ,Int32) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionHasNotTooManyItem s<T>(GivenSelector<ICollection<T>> ,Int32) violates rule 'Methods that could have a lower visibility';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionHasNotTooManyItem s<T>(GivenSelector<ICollection<T>> ,Int32) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionsHaveSameCount<T> (GivenSelector<ICollection<T>> ,Int32) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionsHaveSameItems <TActual,TExpected>(GivenSelector <ICollection<TActual>>,ICollection <TExpected>,Func<ICollection <TActual>,ICollection<TExpected> ,Int32>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Execution .GivenSelectorExtensions .AssertCollectionsHaveSameItems <TActual,TExpected>(GivenSelector <ICollection<TActual>>,ICollection <TExpected>,Func<ICollection <TActual>,ICollection<TExpected> ,Int32>) violates rule 'Avoid public methods not publicly visible'",22,C,14.66
FluentAssertions.Equivalency .EquivalencyOptions<TExpectation>,Src\FluentAssertions\Equivalency\EquivalencyOptions.cs,1y  232d,2h  42min,1h  39min,"13 issues;FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> violates rule 'Avoid prefixing type name with parent namespace name';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> violates rule 'Avoid defining multiple types in a source file';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation>. .ctor() violates rule 'Code should be tested';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> .Excluding(Expression<Func <TExpectation,Object>>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> .For<TNext>(Expression<Func <TExpectation,IEnumerable<TNext>>> ) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> .Including(Expression<Func <TExpectation,Object>>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> .WithStrictOrderingFor(Expression <Func<TExpectation,Object>>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> .WithoutStrictOrderingFor (Expression<Func<TExpectation ,Object>>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> .AsCollection() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> .WithMapping(String,String) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyOptions<TExpectation> .WithMapping<TNestedExpectation ,TNestedSubject>(String,String) violates rule 'Avoid namespaces mutually dependent'",22,E,53.67
FluentAssertions.Equivalency .ConversionSelector,Src\FluentAssertions\Equivalency\ConversionSelector.cs,1y  234d,33min,20min,"3 issues;FluentAssertions.Equivalency .ConversionSelector violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .ConversionSelector violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency .ConversionSelector .RequiresConversion(Comparands ,INode) violates rule 'Avoid namespaces mutually dependent'",31,B,9.09
FluentAssertions.Formatting .FormatChild,Src\FluentAssertions\Formatting\FormatChild.cs,1y  273d,35min,20min,1 issue;FluentAssertions.Formatting .FormatChild violates rule 'Avoid custom delegates',N/A,E,81.02
FluentAssertions.Equivalency .GetSubjectId,Src\FluentAssertions\Equivalency\GetSubjectId.cs,2y  18d,41min,20min,1 issue;FluentAssertions.Equivalency .GetSubjectId violates rule 'Avoid custom delegates',N/A,E,94.91
FluentAssertions.Types .TypeSelector,Src\FluentAssertions\Types\TypeSelector.cs,2y  68d,1h  56min,53min,5 issues;FluentAssertions.Types .TypeSelector violates rule 'Avoid types with too many methods';FluentAssertions.Types .TypeSelector violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Types .TypeSelector .UnwrapEnumerableTypes() violates rule 'Code should be tested';FluentAssertions.Types .TypeSelector.System.Collections .IEnumerable.GetEnumerator() violates rule 'Code should be tested';FluentAssertions.Types .TypeSelector.types violates rule 'Don't assign a field from many methods',104,B,9.75
FluentAssertions.Common .TypeMemberReflector,Src\FluentAssertions\Common\TypeMemberReflector.cs,2y  71d,1h  50min,50min,"13 issues;FluentAssertions.Common .TypeMemberReflector violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeMemberReflector violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Common .TypeMemberReflector violates rule 'Types that could be declared as private, nested in a parent type';FluentAssertions.Common .TypeMemberReflector.get_Members() violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeMemberReflector .get_Properties() violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeMemberReflector.get_Fields() violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeMemberReflector..ctor(Type ,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeMemberReflector..ctor(Type ,MemberVisibility) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeMemberReflector .LoadProperties(Type ,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeMemberReflector .GetPropertiesFromHierarchy(Type ,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeMemberReflector.LoadFields (Type,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeMemberReflector .GetFieldsFromHierarchy(Type ,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeMemberReflector .GetInterfaceMembers<TMemberInfo> (Type,Func<Type,IEnumerable <TMemberInfo>>) violates rule 'Code should be tested'",62,C,14.69
FluentAssertions.Execution .AssertionScope,Src\FluentAssertions\Execution\AssertionScope.cs,2y  143d,3h  22min,1h  24min,"10 issues;FluentAssertions.Execution .AssertionScope violates rule 'Avoid types with too many methods';FluentAssertions.Execution .AssertionScope violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Execution .AssertionScope violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Execution .AssertionScope.set_Current (AssertionScope) violates rule 'Code should be tested';FluentAssertions.Execution .AssertionScope.set_Current (AssertionScope) violates rule 'Potentially Dead Methods';FluentAssertions.Execution .AssertionScope.get_Succeeded() violates rule 'Methods that could have a lower visibility';FluentAssertions.Execution .AssertionScope..ctor (IAssertionStrategy,AssertionScope ) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Execution .AssertionScope.ForConstraint (OccurrenceConstraint,Int32) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Execution .AssertionScope.AssumeSingleCaller () violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Execution .AssertionScope.FluentAssertions .Execution.IAssertionScope .WithDefaultIdentifier(String) violates rule 'Code should be tested'",123,C,12.3
"FluentAssertions.Equivalency .NestedExclusionOptionBuilder <TExpectation,TCurrent>",Src\FluentAssertions\Equivalency\NestedExclusionOptionBuilder.cs,2y  177d,48min,19min,"4 issues;FluentAssertions.Equivalency .NestedExclusionOptionBuilder <TExpectation,TCurrent> violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .NestedExclusionOptionBuilder <TExpectation,TCurrent> violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency .NestedExclusionOptionBuilder <TExpectation,TCurrent>.Exclude (Expression<Func<TCurrent,Object>> ) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .NestedExclusionOptionBuilder <TExpectation,TCurrent>.For<TNext> (Expression<Func<TCurrent ,IEnumerable<TNext>>>) violates rule 'Avoid namespaces mutually dependent'",9,D,37.04
FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>,Src\FluentAssertions\Equivalency\SelfReferenceEquivalencyOptions.cs,2y  244d,6h  27min,2h  25min,"16 issues;FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf> violates rule 'Avoid types with too many methods';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf> violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf> violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf> violates rule 'Abstract base class should be suffixed with 'Base'';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.FluentAssertions .Equivalency.IEquivalencyOptions .get_SelectionRules() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>..ctor() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.Excluding(Expression<Func <IMemberInfo,Boolean>>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.Including(Expression<Func <IMemberInfo,Boolean>>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.ExcludingMissingMembers() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.ThrowingOnMissingMembers() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.Using<T>(IEqualityComparer <T>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.WithStrictOrdering() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.WithStrictOrderingFor (Expression<Func<IObjectInfo ,Boolean>>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.WithoutStrictOrdering() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.WithoutStrictOrderingFor (Expression<Func<IObjectInfo ,Boolean>>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>.ToString() violates rule 'Avoid methods potentially poorly commented'",198,C,14.75
FluentAssertions.CallerIdentifier,Src\FluentAssertions\CallerIdentifier.cs,3y  64d,31min,9min,4 issues;FluentAssertions.CallerIdentifier .set_Logger(Action<String>) violates rule 'Code should be tested';FluentAssertions.CallerIdentifier .OnlyOneFluentAssertionScopeOnCall Stack() violates rule 'Code should be tested';FluentAssertions.CallerIdentifier .IsCustomAssertion(StackFrame) violates rule 'Code should be tested';FluentAssertions.CallerIdentifier .GetSourceCodeStatementFrom (StackFrame) violates rule 'Code should be tested',76,A,3.68
FluentAssertions.Common .CSharpAccessModifierExtensions,Src\FluentAssertions\Common\CSharpAccessModifierExtensions.cs,3y  64d,38min,11min,3 issues;FluentAssertions.Common .CSharpAccessModifierExtensions .GetCSharpAccessModifier (MethodBase) violates rule 'Code should be tested';FluentAssertions.Common .CSharpAccessModifierExtensions .GetCSharpAccessModifier(FieldInfo ) violates rule 'Code should be tested';FluentAssertions.Common .CSharpAccessModifierExtensions .GetCSharpAccessModifier(Type) violates rule 'Code should be tested',37,C,10.74
FluentAssertions.Equivalency.Steps .SimpleEqualityEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\SimpleEqualityEquivalencyStep.cs,3y  193d,38min,10min,"3 issues;FluentAssertions.Equivalency.Steps .SimpleEqualityEquivalencyStep violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .SimpleEqualityEquivalencyStep .Handle(Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .SimpleEqualityEquivalencyStep .Handle(Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Code should be tested'",4,E,63.62
FluentAssertions .ExceptionAssertionsExtensions,Src\FluentAssertions\ExceptionAssertionsExtensions.cs,4y  31d,2h  8min,31min,"9 issues;FluentAssertions .ExceptionAssertionsExtensions violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ExceptionAssertionsExtensions violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions .ExceptionAssertionsExtensions .WithMessage<TException>(Task <ExceptionAssertions<TException>> ,String,String,Object[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ExceptionAssertionsExtensions .Where<TException>(Task <ExceptionAssertions<TException>> ,Expression<Func<TException ,Boolean>>,String,Object[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ExceptionAssertionsExtensions .WithInnerException<TException ,TInnerException>(Task <ExceptionAssertions<TException>> ,String,Object[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ExceptionAssertionsExtensions .WithInnerException<TException> (Task<ExceptionAssertions <TException>>,Type,String,Object[] ) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ExceptionAssertionsExtensions .WithInnerExceptionExactly <TException,TInnerException>(Task <ExceptionAssertions<TException>> ,String,Object[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ExceptionAssertionsExtensions .WithInnerExceptionExactly <TException>(Task <ExceptionAssertions<TException>> ,Type,String,Object[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ExceptionAssertionsExtensions .WithParameterName<TException> (ExceptionAssertions<TException> ,String,String,Object[]) violates rule 'Avoid namespaces mutually dependent'",9,E,82.3
